Wall time,Step,Value
1715239372.3025246,151500,8496.9091796875
1715239372.6328962,152000,1207.2884521484375
1715239372.9639416,152500,307.0934753417969
1715239373.2947419,153000,5244.73876953125
1715239373.6252925,153500,5361.2587890625
1715239373.9554172,154000,6315.41357421875
1715239374.2856486,154500,12679.3466796875
1715239374.616326,155000,10111.3173828125
1715239374.9467108,155500,9718.2607421875
1715239375.2774098,156000,6702.35791015625
1715239375.6079173,156500,12675.626953125
1715239375.9383903,157000,21150.369140625
1715239376.2687688,157500,22397.255859375
1715239376.599166,158000,23918.125
1715239376.9300597,158500,879.5529174804688
1715239377.2599065,159000,1807.5325927734375
1715239377.5902352,159500,1077.7049560546875
1715239377.9202044,160000,2213.780029296875
1715239378.2504537,160500,18320.142578125
1715239378.5810988,161000,20961.544921875
1715239378.9108477,161500,8976.6552734375
1715239379.2419431,162000,6398.12060546875
1715239379.5725951,162500,8718.5615234375
1715239379.9030907,163000,9977.1845703125
1715239380.2331998,163500,8294.7724609375
1715239380.5630927,164000,7726.63818359375
1715239380.8938525,164500,8757.8740234375
1715239381.2242508,165000,9628.7880859375
1715239381.554501,165500,8964.3798828125
1715239381.8847032,166000,9637.0107421875
1715239382.214751,166500,7696.6650390625
1715239382.5452516,167000,8960.8203125
1715239382.8749483,167500,9584.955078125
1715239383.2055614,168000,9527.7841796875
1715239383.5360978,168500,8468.2236328125
1715239383.8664107,169000,9308.72265625
1715239384.1966457,169500,10033.505859375
1715239384.5286894,170000,9557.5107421875
1715239384.8604712,170500,10207.6474609375
1715239385.1930401,171000,3322.494873046875
1715239385.5251503,171500,8558.2177734375
1715239385.8572295,172000,9777.220703125
1715239386.189948,172500,7822.22607421875
1715239386.523135,173000,6565.23046875
1715239386.8561025,173500,9728.4228515625
1715239387.1887915,174000,7093.12646484375
1715239387.521761,174500,6876.50537109375
1715239387.8543732,175000,7914.58154296875
1715239388.1876671,175500,9239.1455078125
1715239388.5204093,176000,8200.8974609375
1715239388.8528962,176500,8564.861328125
1715239389.1856437,177000,9139.359375
1715239389.5187967,177500,8729.1787109375
1715239389.8516285,178000,7334.85400390625
1715239390.184425,178500,7864.9375
1715239390.5177505,179000,9252.8359375
1715239390.8508582,179500,1775.181640625
1715239391.1842947,180000,2161.1748046875
1715239391.516934,180500,9138.685546875
1715239391.8491096,181000,5559.3603515625
1715239392.1820922,181500,17302.775390625
1715239392.5148354,182000,9525.5703125
1715239392.848047,182500,326.5516052246094
1715239393.181128,183000,11519.3359375
1715239393.5142949,183500,8087.12841796875
1715239393.8478236,184000,9767.5576171875
1715239394.1811016,184500,8614.1943359375
1715239394.514165,185000,5120.583984375
1715239394.8478134,185500,6900.05029296875
1715239395.1807132,186000,7594.30029296875
